"","legend","hour","Trips"
"1","Testing",2021-10-22 00:00:00,1691
"2","Testing",2021-10-22 01:00:00,886
"3","Testing",2021-10-22 02:00:00,515
"4","Testing",2021-10-22 03:00:00,308
"5","Testing",2021-10-22 04:00:00,315
"6","Testing",2021-10-22 05:00:00,730
"7","Testing",2021-10-22 06:00:00,2326
"8","Testing",2021-10-22 07:00:00,5031
"9","Testing",2021-10-22 08:00:00,7268
"10","Testing",2021-10-22 09:00:00,5542
"11","Testing",2021-10-22 10:00:00,4865
"12","Testing",2021-10-22 11:00:00,5097
"13","Testing",2021-10-22 12:00:00,5895
"14","Testing",2021-10-22 13:00:00,6419
"15","Testing",2021-10-22 14:00:00,7231
"16","Testing",2021-10-22 15:00:00,7918
"17","Testing",2021-10-22 16:00:00,8660
"18","Testing",2021-10-22 17:00:00,10607
"19","Testing",2021-10-22 18:00:00,9030
"20","Testing",2021-10-22 19:00:00,6455
"21","Testing",2021-10-22 20:00:00,4428
"22","Testing",2021-10-22 21:00:00,3686
"23","Testing",2021-10-22 22:00:00,3078
"24","Testing",2021-10-22 23:00:00,2819
"25","Testing",2021-10-23 00:00:00,2439
"26","Testing",2021-10-23 01:00:00,1786
"27","Testing",2021-10-23 02:00:00,1280
"28","Testing",2021-10-23 03:00:00,793
"29","Testing",2021-10-23 04:00:00,445
"30","Testing",2021-10-23 05:00:00,316
"31","Testing",2021-10-23 06:00:00,757
"32","Testing",2021-10-23 07:00:00,1273
"33","Testing",2021-10-23 08:00:00,2292
"34","Testing",2021-10-23 09:00:00,3625
"35","Testing",2021-10-23 10:00:00,4307
"36","Testing",2021-10-23 11:00:00,5915
"37","Testing",2021-10-23 12:00:00,7186
"38","Testing",2021-10-23 13:00:00,7505
"39","Testing",2021-10-23 14:00:00,7697
"40","Testing",2021-10-23 15:00:00,7767
"41","Testing",2021-10-23 16:00:00,7296
"42","Testing",2021-10-23 17:00:00,6879
"43","Testing",2021-10-23 18:00:00,5631
"44","Testing",2021-10-23 19:00:00,4599
"45","Testing",2021-10-23 20:00:00,3282
"46","Testing",2021-10-23 21:00:00,2697
"47","Testing",2021-10-23 22:00:00,2582
"48","Testing",2021-10-23 23:00:00,2238
"49","Testing",2021-10-24 00:00:00,2058
"50","Testing",2021-10-24 01:00:00,1591
"51","Testing",2021-10-24 02:00:00,1047
"52","Testing",2021-10-24 03:00:00,660
"53","Testing",2021-10-24 04:00:00,448
"54","Testing",2021-10-24 05:00:00,234
"55","Testing",2021-10-24 06:00:00,562
"56","Testing",2021-10-24 07:00:00,1067
"57","Testing",2021-10-24 08:00:00,2035
"58","Testing",2021-10-24 09:00:00,3439
"59","Testing",2021-10-24 10:00:00,5234
"60","Testing",2021-10-24 11:00:00,6054
"61","Testing",2021-10-24 12:00:00,6622
"62","Testing",2021-10-24 13:00:00,6765
"63","Testing",2021-10-24 14:00:00,7153
"64","Testing",2021-10-24 15:00:00,7010
"65","Testing",2021-10-24 16:00:00,7255
"66","Testing",2021-10-24 17:00:00,6760
"67","Testing",2021-10-24 18:00:00,5731
"68","Testing",2021-10-24 19:00:00,3963
"69","Testing",2021-10-24 20:00:00,3051
"70","Testing",2021-10-24 21:00:00,2506
"71","Testing",2021-10-24 22:00:00,2013
"72","Testing",2021-10-24 23:00:00,925
"73","Testing",2021-10-25 00:00:00,508
"74","Testing",2021-10-25 01:00:00,246
"75","Testing",2021-10-25 02:00:00,133
"76","Testing",2021-10-25 03:00:00,103
"77","Testing",2021-10-25 04:00:00,189
"78","Testing",2021-10-25 05:00:00,705
"79","Testing",2021-10-25 06:00:00,2173
"80","Testing",2021-10-25 07:00:00,4752
"81","Testing",2021-10-25 08:00:00,6938
"82","Testing",2021-10-25 09:00:00,4710
"83","Testing",2021-10-25 10:00:00,3653
"84","Testing",2021-10-25 11:00:00,3778
"85","Testing",2021-10-25 12:00:00,4386
"86","Testing",2021-10-25 13:00:00,4578
"87","Testing",2021-10-25 14:00:00,5401
"88","Testing",2021-10-25 15:00:00,6295
"89","Testing",2021-10-25 16:00:00,7497
"90","Testing",2021-10-25 17:00:00,10216
"91","Testing",2021-10-25 18:00:00,9498
"92","Testing",2021-10-25 19:00:00,6276
"93","Testing",2021-10-25 20:00:00,4087
"94","Testing",2021-10-25 21:00:00,2786
"95","Testing",2021-10-25 22:00:00,1845
"96","Testing",2021-10-25 23:00:00,1208
"97","Testing",2021-10-26 00:00:00,524
"98","Testing",2021-10-26 01:00:00,61
"99","Testing",2021-10-26 02:00:00,78
"100","Testing",2021-10-26 03:00:00,17
"101","Testing",2021-10-26 04:00:00,42
"102","Testing",2021-10-26 05:00:00,142
"103","Testing",2021-10-26 06:00:00,307
"104","Testing",2021-10-26 07:00:00,582
"105","Testing",2021-10-26 08:00:00,1065
"106","Testing",2021-10-26 09:00:00,899
"107","Testing",2021-10-26 10:00:00,639
"108","Testing",2021-10-26 11:00:00,1865
"109","Testing",2021-10-26 12:00:00,2941
"110","Testing",2021-10-26 13:00:00,3583
"111","Testing",2021-10-26 14:00:00,4176
"112","Testing",2021-10-26 15:00:00,5081
"113","Testing",2021-10-26 16:00:00,6097
"114","Testing",2021-10-26 17:00:00,7755
"115","Testing",2021-10-26 18:00:00,7484
"116","Testing",2021-10-26 19:00:00,2416
"117","Testing",2021-10-26 20:00:00,620
"118","Testing",2021-10-26 21:00:00,601
"119","Testing",2021-10-26 22:00:00,465
"120","Testing",2021-10-26 23:00:00,390
"121","Testing",2021-10-27 00:00:00,273
"122","Testing",2021-10-27 01:00:00,174
"123","Testing",2021-10-27 02:00:00,80
"124","Testing",2021-10-27 03:00:00,44
"125","Testing",2021-10-27 04:00:00,99
"126","Testing",2021-10-27 05:00:00,594
"127","Testing",2021-10-27 06:00:00,2286
"128","Testing",2021-10-27 07:00:00,5147
"129","Testing",2021-10-27 08:00:00,7664
"130","Testing",2021-10-27 09:00:00,5317
"131","Testing",2021-10-27 10:00:00,3981
"132","Testing",2021-10-27 11:00:00,4171
"133","Testing",2021-10-27 12:00:00,4739
"134","Testing",2021-10-27 13:00:00,4934
"135","Testing",2021-10-27 14:00:00,5520
"136","Testing",2021-10-27 15:00:00,6182
"137","Testing",2021-10-27 16:00:00,7381
"138","Testing",2021-10-27 17:00:00,10139
"139","Testing",2021-10-27 18:00:00,9727
"140","Testing",2021-10-27 19:00:00,6430
"141","Testing",2021-10-27 20:00:00,4448
"142","Testing",2021-10-27 21:00:00,3427
"143","Testing",2021-10-27 22:00:00,2926
"144","Testing",2021-10-27 23:00:00,1908
"145","Testing",2021-10-28 00:00:00,1026
"146","Testing",2021-10-28 01:00:00,512
"147","Testing",2021-10-28 02:00:00,263
"148","Testing",2021-10-28 03:00:00,167
"149","Testing",2021-10-28 04:00:00,189
"150","Testing",2021-10-28 05:00:00,718
"151","Testing",2021-10-28 06:00:00,2382
"152","Testing",2021-10-28 07:00:00,5204
"153","Testing",2021-10-28 08:00:00,7739
"154","Testing",2021-10-28 09:00:00,5631
"155","Testing",2021-10-28 10:00:00,4154
"156","Testing",2021-10-28 11:00:00,4168
"157","Testing",2021-10-28 12:00:00,4856
"158","Testing",2021-10-28 13:00:00,5046
"159","Testing",2021-10-28 14:00:00,5665
"160","Testing",2021-10-28 15:00:00,6583
"161","Testing",2021-10-28 16:00:00,7469
"162","Testing",2021-10-28 17:00:00,9827
"163","Testing",2021-10-28 18:00:00,9324
"164","Testing",2021-10-28 19:00:00,6467
"165","Testing",2021-10-28 20:00:00,4344
"166","Testing",2021-10-28 21:00:00,3331
"167","Testing",2021-10-28 22:00:00,2863
"168","Testing",2021-10-28 23:00:00,2280
"169","Testing",2021-10-29 00:00:00,1479
"170","Testing",2021-10-29 01:00:00,705
"171","Testing",2021-10-29 02:00:00,468
"172","Testing",2021-10-29 03:00:00,279
"173","Testing",2021-10-29 04:00:00,244
"174","Testing",2021-10-29 05:00:00,615
"175","Testing",2021-10-29 06:00:00,2029
"176","Testing",2021-10-29 07:00:00,4192
"177","Testing",2021-10-29 08:00:00,6328
"178","Testing",2021-10-29 09:00:00,4775
"179","Testing",2021-10-29 10:00:00,4059
"180","Testing",2021-10-29 11:00:00,4423
"181","Testing",2021-10-29 12:00:00,5114
"182","Testing",2021-10-29 13:00:00,5461
"183","Testing",2021-10-29 14:00:00,6147
"184","Testing",2021-10-29 15:00:00,6549
"185","Testing",2021-10-29 16:00:00,7017
"186","Testing",2021-10-29 17:00:00,7932
"187","Testing",2021-10-29 18:00:00,6509
"188","Testing",2021-10-29 19:00:00,4297
"189","Testing",2021-10-29 20:00:00,1875
"190","Testing",2021-10-29 21:00:00,577
"191","Testing",2021-10-29 22:00:00,491
"192","Testing",2021-10-29 23:00:00,587
"193","Testing",2021-10-30 00:00:00,970
"194","Testing",2021-10-30 01:00:00,1061
"195","Testing",2021-10-30 02:00:00,707
"196","Testing",2021-10-30 03:00:00,494
"197","Testing",2021-10-30 04:00:00,184
"198","Testing",2021-10-30 05:00:00,144
"199","Testing",2021-10-30 06:00:00,552
"200","Testing",2021-10-30 07:00:00,958
"201","Testing",2021-10-30 08:00:00,1769
"202","Testing",2021-10-30 09:00:00,2384
"203","Testing",2021-10-30 10:00:00,3448
"204","Testing",2021-10-30 11:00:00,5139
"205","Testing",2021-10-30 12:00:00,6741
"206","Testing",2021-10-30 13:00:00,7194
"207","Testing",2021-10-30 14:00:00,7513
"208","Testing",2021-10-30 15:00:00,7621
"209","Testing",2021-10-30 16:00:00,7359
"210","Testing",2021-10-30 17:00:00,6398
"211","Testing",2021-10-30 18:00:00,5610
"212","Testing",2021-10-30 19:00:00,4496
"213","Testing",2021-10-30 20:00:00,3041
"214","Testing",2021-10-30 21:00:00,1765
"215","Testing",2021-10-30 22:00:00,1226
"216","Testing",2021-10-30 23:00:00,1767
"217","Testing",2021-10-31 00:00:00,1979
"218","Testing",2021-10-31 01:00:00,2069
"219","Testing",2021-10-31 02:00:00,1730
"220","Testing",2021-10-31 03:00:00,937
"221","Testing",2021-10-31 04:00:00,638
"222","Testing",2021-10-31 05:00:00,233
"223","Testing",2021-10-31 06:00:00,420
"224","Testing",2021-10-31 07:00:00,828
"225","Testing",2021-10-31 08:00:00,1698
"226","Testing",2021-10-31 09:00:00,2598
"227","Testing",2021-10-31 10:00:00,3975
"228","Testing",2021-10-31 11:00:00,5519
"229","Testing",2021-10-31 12:00:00,6846
"230","Testing",2021-10-31 13:00:00,7235
"231","Testing",2021-10-31 14:00:00,7516
"232","Testing",2021-10-31 15:00:00,7510
"233","Testing",2021-10-31 16:00:00,7469
"234","Testing",2021-10-31 17:00:00,6603
"235","Testing",2021-10-31 18:00:00,5290
"236","Testing",2021-10-31 19:00:00,3952
"237","Testing",2021-10-31 20:00:00,3450
"238","Testing",2021-10-31 21:00:00,2731
"239","Testing",2021-10-31 22:00:00,2127
"240","Testing",2021-10-31 23:00:00,1548
"241","Training",2021-10-01 00:00:00,1616
"242","Training",2021-10-01 01:00:00,901
"243","Training",2021-10-01 02:00:00,517
"244","Training",2021-10-01 03:00:00,294
"245","Training",2021-10-01 04:00:00,254
"246","Training",2021-10-01 05:00:00,701
"247","Training",2021-10-01 06:00:00,2312
"248","Training",2021-10-01 07:00:00,5070
"249","Training",2021-10-01 08:00:00,7162
"250","Training",2021-10-01 09:00:00,5361
"251","Training",2021-10-01 10:00:00,4721
"252","Training",2021-10-01 11:00:00,5169
"253","Training",2021-10-01 12:00:00,6058
"254","Training",2021-10-01 13:00:00,6484
"255","Training",2021-10-01 14:00:00,7401
"256","Training",2021-10-01 15:00:00,7939
"257","Training",2021-10-01 16:00:00,9085
"258","Training",2021-10-01 17:00:00,10934
"259","Training",2021-10-01 18:00:00,10541
"260","Training",2021-10-01 19:00:00,7376
"261","Training",2021-10-01 20:00:00,4839
"262","Training",2021-10-01 21:00:00,3761
"263","Training",2021-10-01 22:00:00,3243
"264","Training",2021-10-01 23:00:00,3134
"265","Training",2021-10-02 00:00:00,2659
"266","Training",2021-10-02 01:00:00,1926
"267","Training",2021-10-02 02:00:00,1430
"268","Training",2021-10-02 03:00:00,926
"269","Training",2021-10-02 04:00:00,536
"270","Training",2021-10-02 05:00:00,395
"271","Training",2021-10-02 06:00:00,948
"272","Training",2021-10-02 07:00:00,1667
"273","Training",2021-10-02 08:00:00,3018
"274","Training",2021-10-02 09:00:00,4911
"275","Training",2021-10-02 10:00:00,6527
"276","Training",2021-10-02 11:00:00,8106
"277","Training",2021-10-02 12:00:00,9211
"278","Training",2021-10-02 13:00:00,9424
"279","Training",2021-10-02 14:00:00,9620
"280","Training",2021-10-02 15:00:00,9514
"281","Training",2021-10-02 16:00:00,9218
"282","Training",2021-10-02 17:00:00,9029
"283","Training",2021-10-02 18:00:00,8220
"284","Training",2021-10-02 19:00:00,6236
"285","Training",2021-10-02 20:00:00,4497
"286","Training",2021-10-02 21:00:00,3643
"287","Training",2021-10-02 22:00:00,3379
"288","Training",2021-10-02 23:00:00,3360
"289","Training",2021-10-03 00:00:00,2811
"290","Training",2021-10-03 01:00:00,2138
"291","Training",2021-10-03 02:00:00,1494
"292","Training",2021-10-03 03:00:00,933
"293","Training",2021-10-03 04:00:00,566
